twitter code,Party ID,chamber,nominate_dim1,Names altered,Name chronological,delegate,serving at time of tweet,independent,president,Personal Twitter_binary,CongressionalTwitter_binary,PressOfficeTwitter_binary,Campaign Twitter_binary,RetiredTwitter_binary,original codes
RepAdams,D,House,-0.468,"['adams', 'alma']",Alma Adams,False,True,False,False,False,True,False,False,False,True
AlmaforCongress,D,House,-0.468,"['adams', 'alma']",Alma Adams,False,True,False,False,True,False,False,False,False,False
Robert_Aderholt,R,House,0.384,"['aderholt', 'robert']",Robert Aderholt,False,True,False,False,False,True,False,False,False,True
RepPeteAguilar,D,House,-0.302,"['aguilar', 'pete']",Pete Aguilar,False,True,False,False,False,True,False,False,False,True
aguilarpete,D,House,-0.302,"['aguilar', 'pete']",Pete Aguilar,False,True,False,False,True,False,False,False,False,False
PeteAguilar,D,House,-0.302,"['aguilar', 'pete']",Pete Aguilar,False,True,False,False,False,False,False,True,False,False
aguilarcampaign,D,House,-0.302,"['aguilar', 'pete']",Pete Aguilar,False,True,False,False,False,False,False,False,True,False
RepRickAllen,R,House,0.695,"['allen', 'rick']",Rick Allen,False,True,False,False,False,True,False,False,False,True
rickallen,R,House,0.695,"['allen', 'rick']",Rick Allen,False,True,False,False,True,False,False,False,False,False
RepColinAllred,D,House,-0.451,"['allred', 'colin']",Colin Allred,False,True,False,False,False,True,False,False,False,True
ColinAllredTX,D,House,-0.451,"['allred', 'colin']",Colin Allred,False,True,False,False,True,False,False,False,False,False
MarkAmodeiNV2,R,House,0.384,"['amodei', 'mark']",Mark Amodei,False,True,False,False,False,True,False,False,False,True
AmodeiForNevada,R,House,0.384,"['amodei', 'mark']",Mark Amodei,False,True,False,False,False,False,False,True,False,False
RepArmstrongND,R,House,0.468,"['armstrong', 'kelly']",Kelly Armstrong,False,True,False,False,False,True,False,False,False,True
Armstrong_ND,R,House,0.468,"['armstrong', 'kelly']",Kelly Armstrong,False,True,False,False,True,False,False,False,False,False
RepArrington,R,House,0.647,"['arrington', 'jodey']",Jodey Arrington,False,True,False,False,False,True,False,False,False,True
JodeyArrington,R,House,0.647,"['arrington', 'jodey']",Jodey Arrington,False,True,False,False,True,False,False,False,False,False
RepAuchincloss,D,House,-0.321,"['auchincloss', 'jake']",Jake Auchincloss,False,True,False,False,False,True,False,False,False,True
JakeAuch,D,House,-0.321,"['auchincloss', 'jake']",Jake Auchincloss,False,True,False,False,True,False,False,False,False,False
RepCindyAxne,D,House,-0.25,"['axne', 'cindy']",Cindy Axne,False,True,False,False,False,True,False,False,False,True
Axne4Congress,D,House,-0.25,"['axne', 'cindy']",Cindy Axne,False,True,False,False,True,False,False,False,False,False
TeamAxne,D,House,-0.25,"['axne', 'cindy']",Cindy Axne,False,True,False,False,False,False,False,True,False,False
RepBrianBabin,R,House,0.711,"['babin', 'brian']",Brian Babin,False,True,False,False,False,True,False,False,False,True
Babin4Congress,R,House,0.711,"['babin', 'brian']",Brian Babin,False,True,False,False,True,False,False,False,False,False
RepDonBacon,R,House,0.34,"['bacon', 'don']",Don Bacon,False,True,False,False,False,True,False,False,False,True
DonJBacon,R,House,0.34,"['bacon', 'don']",Don Bacon,False,True,False,False,True,False,False,False,False,False
RepJimBaird,R,House,0.479,"['baird', 'jim']",Jim Baird,False,True,False,False,False,True,False,False,False,True
RepBalderson,R,House,0.425,"['balderson', 'troy']",Troy Balderson,False,True,False,False,False,True,False,False,False,True
Troy_Balderson,R,House,0.425,"['balderson', 'troy']",Troy Balderson,False,True,False,False,True,False,False,False,False,False
RepJimBanks,R,House,0.647,"['banks', 'jim']",Jim Banks,False,True,False,False,False,True,False,False,False,True
